epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,7708.25,1.7949,1.41985,0.64754,0.46191,0.35135,0.34153,0.1286,1.21464,0.94185,0.47052,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,7847.58,1.82359,1.40912,0.66942,0.42458,0.35811,0.32198,0.11374,1.24125,0.9249,0.46958,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,7984.24,1.79298,1.40625,0.63219,0.50499,0.36824,0.34526,0.12685,1.19743,0.9093,0.46576,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,8119.09,1.83961,1.44452,0.64821,0.46965,0.38851,0.32851,0.13944,1.1409,0.90693,0.46537,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,8250.94,1.85672,1.42334,0.64371,0.51172,0.35473,0.35658,0.13681,1.18721,0.89302,0.46684,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,8382.37,1.85677,1.40905,0.66869,0.50723,0.37838,0.37587,0.13836,1.12265,0.896,0.45912,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,8514.04,1.83229,1.40462,0.64478,0.54351,0.34459,0.3678,0.13462,1.167,0.8851,0.46221,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,8647.56,1.76442,1.35249,0.62794,0.45838,0.40878,0.36996,0.14458,1.17329,0.85648,0.47255,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,8775.93,1.787,1.35365,0.65413,0.51194,0.39527,0.39074,0.14536,1.16174,0.83953,0.46116,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,8902.5,1.82656,1.37157,0.6412,0.53504,0.36824,0.37351,0.14589,1.15859,0.82869,0.46217,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,9029.96,1.89831,1.38955,0.68088,0.49759,0.39483,0.38925,0.15524,1.15377,0.83043,0.46345,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,9159.65,1.79254,1.3214,0.64413,0.4936,0.37838,0.37074,0.14467,1.1568,0.83551,0.46047,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,9287.25,1.7898,1.3019,0.64423,0.45841,0.40203,0.382,0.14955,1.16681,0.85038,0.46105,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,9421.77,1.74901,1.30642,0.63228,0.57124,0.35473,0.4003,0.1583,1.14199,0.81554,0.45535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,9556.7,1.78964,1.2997,0.64071,0.553,0.41892,0.40871,0.16618,1.14305,0.80225,0.45758,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,9691.5,1.66751,1.21527,0.60232,0.57848,0.37162,0.42215,0.17565,1.134,0.81229,0.45926,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,9825.63,1.81043,1.28148,0.63908,0.54068,0.39189,0.42296,0.17348,1.13997,0.78293,0.45766,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,9952.44,1.68892,1.19085,0.61322,0.48781,0.42568,0.42061,0.17142,1.13324,0.78438,0.46053,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,10079.2,1.73494,1.22267,0.61511,0.53257,0.40203,0.42342,0.17664,1.12813,0.78316,0.46217,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,10205.9,1.67371,1.20779,0.61445,0.55356,0.41889,0.43793,0.18326,1.12796,0.7616,0.45928,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,10333.5,1.85556,1.30916,0.67742,0.52554,0.42905,0.44055,0.18372,1.11417,0.75777,0.45505,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,10460.2,1.65793,1.20391,0.60536,0.50848,0.48649,0.44716,0.18826,1.11883,0.74413,0.45139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,10587.6,1.75391,1.19778,0.63791,0.55648,0.42568,0.45202,0.1899,1.11794,0.75506,0.45001,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,10719.8,1.78595,1.26016,0.63901,0.6045,0.42905,0.45886,0.19656,1.09804,0.74722,0.4497,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,10854.7,1.76589,1.22475,0.62769,0.5892,0.4797,0.47605,0.20317,1.10906,0.75132,0.45076,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,10989.6,1.75515,1.20722,0.62728,0.64917,0.4626,0.48155,0.20869,1.10611,0.75018,0.44938,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,11124.2,1.72087,1.16037,0.6153,0.60431,0.4592,0.48638,0.2061,1.12478,0.73672,0.45211,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,11259.2,1.73592,1.18747,0.63315,0.62721,0.42568,0.48162,0.20816,1.11252,0.73484,0.44866,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,11393.8,1.69794,1.12556,0.62356,0.63048,0.43919,0.47981,0.20705,1.10887,0.71766,0.44784,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,11522.5,1.74093,1.19685,0.63187,0.59869,0.46622,0.49628,0.21563,1.10508,0.71696,0.44733,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
