axis-0,axis-1,axis-2
1507.234,1189.774,114.000
1506.442,1189.175,115.000
1507.295,1190.698,115.000
1506.244,1189.254,116.000
1532.618,1287.406,119.000
1532.672,1284.810,120.000
1533.043,1287.046,120.000
1532.104,1283.901,121.000
1531.000,1283.484,122.000
1529.863,1283.094,123.000
1445.372,1121.856,124.000
1446.395,1121.824,124.000
1444.811,1122.208,125.000
1444.397,1122.182,126.000
1508.911,1104.290,126.000
1444.024,1121.887,127.000
1443.398,1121.446,128.000
1442.375,1120.961,129.000
1373.392,1441.038,131.000
1372.528,1441.108,132.000
1371.771,1440.940,133.000
1370.857,1440.731,134.000
1370.239,1440.313,135.000
1370.182,1439.729,136.000
1370.433,1440.062,136.000
1369.633,1439.494,137.000
1419.873,1105.582,143.000
1352.635,1425.126,143.000
1354.752,1424.312,144.000
1357.446,1422.794,144.000
1477.673,1515.046,145.000
1507.584,1272.843,146.000
1513.428,1251.312,147.000
1506.969,1272.800,147.000
1511.844,1308.269,148.000
1513.626,1251.680,148.000
1533.759,1150.136,148.000
1511.195,1307.811,149.000
1514.299,1252.056,149.000
1533.460,1152.020,149.000
1514.298,1252.729,150.000
1510.772,1306.923,150.000
1510.495,1305.782,150.000
1514.066,1254.181,150.000
1513.697,1253.448,151.000
1509.730,1305.096,151.000
1510.668,1306.810,151.000
1513.284,1252.951,152.000
1509.831,1307.562,152.000
1508.528,1304.651,152.000
1513.217,1251.690,153.000
1410.686,1110.068,153.000
1508.730,1307.764,153.000
1507.298,1304.428,153.000
1410.242,1109.851,154.000
1512.301,1250.909,154.000
1507.320,1308.509,154.000
1409.971,1109.812,155.000
1509.697,1247.856,155.000
1410.936,1109.590,155.000
1510.648,1249.549,155.000
1409.037,1108.561,156.000
1396.130,1274.659,156.000
1498.099,1274.622,156.000
1407.848,1108.167,157.000
1393.636,1273.173,157.000
1394.021,1274.060,157.000
1530.128,1160.394,157.000
1392.587,1273.074,158.000
1406.743,1108.320,158.000
1407.381,1108.917,158.000
1391.878,1273.029,159.000
1407.135,1108.960,159.000
1483.785,1274.269,159.000
1404.995,1106.859,159.000
1483.946,1273.244,159.000
1391.041,1272.953,160.000
1406.871,1109.889,160.000
1390.448,1273.037,161.000
1389.358,1273.217,162.000
1388.271,1272.997,163.000
1386.499,1272.478,164.000
1386.731,1273.513,164.000
1385.245,1272.150,165.000
1514.011,1261.248,167.000
1514.493,1260.347,167.000
1533.730,1319.503,170.000
1166.480,1771.434,2.000
1166.446,1772.729,3.000
1166.454,1773.674,4.000
1165.942,1774.299,5.000
1165.135,1774.257,6.000
1164.238,1773.868,7.000
1162.351,1773.848,8.000
1159.093,1772.299,9.000
1157.422,1771.394,10.000
1154.338,1769.897,11.000
1151.738,1767.760,12.000
1149.351,1766.346,13.000
1148.552,1766.194,14.000
1243.083,1684.969,15.000
1147.321,1766.125,15.000
1148.019,1766.785,15.000
1242.143,1685.434,15.000
1242.493,1685.715,16.000
1146.837,1766.954,16.000
1146.159,1765.993,16.000
1242.522,1686.196,17.000
1144.118,1765.270,17.000
1242.482,1686.322,18.000
1242.053,1686.384,19.000
1241.298,1686.319,20.000
1240.755,1686.275,21.000
1239.915,1685.614,22.000
1238.817,1684.779,23.000
1256.410,1681.837,26.000
1255.957,1682.346,27.000
1255.449,1683.801,27.000
1255.494,1684.630,28.000
1255.913,1683.267,28.000
1255.033,1684.093,29.000
1255.127,1682.725,29.000
1253.877,1683.603,30.000
1254.426,1682.116,30.000
1253.577,1676.956,30.000
1253.499,1683.869,31.000
1253.747,1682.247,31.000
1253.516,1684.337,32.000
1251.222,1685.077,32.000
1253.403,1682.560,32.000
1253.162,1684.823,33.000
1250.976,1685.509,33.000
1252.769,1683.591,33.000
1252.584,1684.853,34.000
1250.768,1685.565,34.000
1252.121,1683.853,34.000
1250.315,1684.755,35.000
1048.778,1796.137,35.000
1250.807,1684.081,35.000
1049.883,1795.958,35.000
1249.122,1684.167,36.000
1047.802,1795.858,36.000
1249.443,1684.030,36.000
1247.205,1683.710,37.000
1047.344,1795.531,37.000
1245.759,1682.759,38.000
1047.174,1795.340,38.000
1243.896,1681.957,39.000
1047.602,1794.833,39.000
1242.120,1681.034,40.000
1048.418,1794.255,40.000
1050.419,1793.899,40.000
1049.056,1793.850,41.000
1240.459,1680.873,41.000
1240.940,1682.449,41.000
1049.002,1793.966,42.000
1048.887,1793.427,43.000
1048.086,1792.696,44.000
1047.109,1791.635,45.000
1046.266,1791.479,46.000
1045.511,1791.039,47.000
1045.104,1792.399,47.000
1045.051,1790.840,48.000
1044.059,1790.447,49.000
1040.888,1788.430,50.000
1071.604,1564.354,101.000
1074.464,1568.639,101.000
1068.212,1559.609,101.000
1072.706,1564.108,102.000
1071.052,1562.710,102.000
1074.069,1571.047,102.000
1077.437,1563.601,102.000
1072.075,1560.637,103.000
1075.829,1561.385,103.000
1071.717,1560.587,104.000
1072.995,1566.324,104.000
1076.043,1560.889,104.000
1074.383,1574.753,104.000
1073.447,1567.247,105.000
1071.961,1561.030,105.000
1075.464,1570.555,105.000
1075.306,1561.448,105.000
1074.047,1576.754,105.000
1071.279,1556.897,105.000
1078.115,1569.407,105.000
1073.222,1566.348,106.000
1071.855,1561.315,106.000
1070.827,1556.840,106.000
1075.824,1570.750,106.000
1076.307,1560.571,106.000
1075.051,1559.760,107.000
1074.716,1560.484,108.000
1072.101,1561.629,108.000
1074.351,1560.125,109.000
1073.779,1550.855,109.000
1073.512,1560.505,110.000
1072.740,1548.023,110.000
1028.794,1655.827,170.000
1028.474,1657.543,170.000
1027.749,1656.496,171.000
1027.119,1656.796,172.000
1027.060,1656.778,173.000
1027.026,1656.907,174.000
1027.097,1657.034,175.000
1027.344,1657.852,176.000
1027.384,1658.385,177.000
1028.782,1659.691,178.000
1028.972,1661.184,179.000
1027.876,1662.921,180.000
1027.745,1663.614,181.000
1524.441,2551.510,103.000
1523.565,2550.459,104.000
1125.092,2083.370,169.000
1695.359,696.698,15.000
1696.159,697.795,15.000
1568.235,802.464,100.000
1566.412,801.288,101.000
1660.303,890.966,123.000
1659.794,890.454,124.000
1577.179,1073.432,16.000
1575.797,1072.377,17.000
1575.031,1071.531,17.000
1573.791,1070.814,18.000
1572.844,1070.706,19.000
1572.128,1070.289,20.000
1570.515,1068.594,20.000
1570.756,1069.666,21.000
1569.157,1067.586,21.000
1565.235,1065.359,22.000
1569.012,1068.198,22.000
1567.298,1066.249,22.000
1563.006,1063.720,23.000
1609.923,1060.309,30.000
1567.020,1191.889,46.000
1566.632,1190.728,46.000
1566.597,1192.658,47.000
1566.394,1193.000,48.000
1565.948,1193.105,49.000
1565.131,1192.499,50.000
1564.216,1191.591,51.000
1563.173,1190.126,51.000
1563.590,1191.594,52.000
1563.020,1190.721,52.000
1563.158,1191.609,53.000
1562.566,1190.995,53.000
1561.126,1190.340,54.000
1560.912,1189.833,55.000
1561.900,1191.442,56.000
1561.355,1191.238,56.000
1562.519,1192.265,57.000
1563.138,1192.899,58.000
1562.592,1193.646,59.000
1538.012,1154.395,78.000
1554.207,1034.776,84.000
1553.578,1034.336,85.000
1553.010,1033.942,86.000
1552.409,1033.576,87.000
1552.230,1033.705,88.000
1598.617,1239.825,90.000
1598.615,1239.885,91.000
1598.411,1240.016,92.000
1598.124,1240.051,93.000
1598.109,1240.059,94.000
1597.759,1239.599,95.000
1727.618,1384.452,102.000
1727.436,1384.169,103.000
1727.240,1384.132,104.000
1726.468,1384.211,105.000
1610.382,1460.536,105.000
1725.586,1384.167,106.000
1607.183,1462.405,106.000
1606.338,1463.179,106.000
1726.080,1383.679,106.000
1605.381,1463.395,107.000
1724.494,1382.462,107.000
1725.765,1382.332,107.000
1604.379,1463.958,108.000
1724.435,1381.289,108.000
1722.769,1381.147,108.000
1602.520,1463.512,109.000
1722.556,1382.290,109.000
1721.205,1382.432,109.000
1721.180,1380.629,109.000
1725.615,1379.752,109.000
1601.726,1462.893,110.000
1601.145,1462.847,111.000
1602.368,1464.000,112.000
1591.081,1185.762,116.000
1590.787,1185.881,117.000
1589.687,1185.836,118.000
1588.198,1185.452,119.000
1670.720,1453.465,122.000
1670.626,1453.003,123.000
1670.274,1452.627,124.000
1669.840,1452.741,125.000
1669.281,1452.745,126.000
1668.734,1452.705,127.000
1667.836,1452.349,128.000
1581.138,1526.410,144.000
1599.559,1381.831,145.000
1781.211,1595.666,134.000
1780.869,1595.703,135.000
1780.494,1596.054,136.000
1780.422,1596.618,137.000
1780.280,1596.915,138.000
1779.935,1597.023,139.000
1778.670,1596.823,140.000
1778.512,1596.641,141.000
1778.038,1596.562,142.000
1779.777,1595.830,142.000
1776.953,1596.346,143.000
1597.192,1561.026,147.000
1597.409,1561.915,147.000
1597.118,1561.111,148.000
1596.974,1562.129,148.000
1596.620,1562.286,149.000
1596.853,1561.164,149.000
1596.246,1562.305,150.000
1596.617,1561.344,150.000
1595.823,1562.432,151.000
1596.080,1561.420,151.000
1595.065,1562.633,152.000
1593.976,1562.947,152.000
1594.514,1562.485,153.000
1594.495,1561.424,153.000
1593.992,1562.122,154.000
1593.082,1561.029,155.000
1592.243,1560.046,156.000
1590.933,1558.713,157.000
1589.289,1558.030,158.000
1588.263,1558.231,159.000
1587.298,1557.302,159.000
1586.708,1558.489,160.000
1587.411,1559.630,160.000
1632.319,1538.971,207.000
1631.130,1539.349,208.000
1631.294,1538.849,209.000
1631.042,1538.493,210.000
1630.122,1538.099,211.000
1795.494,2325.380,115.000
1795.253,2322.896,115.000
2557.832,836.749,217.000
2557.945,835.899,218.000
2113.445,1210.376,178.000
3015.082,346.292,166.000
3015.240,346.518,167.000
3016.041,346.714,168.000
3016.980,346.836,169.000
3017.218,346.492,170.000
3017.303,345.184,171.000
3017.301,344.705,172.000
3017.276,344.111,173.000
3017.522,343.549,174.000
3017.476,343.531,175.000
3021.137,334.773,176.000
3020.412,335.838,176.000
3045.250,462.058,183.000
3044.659,461.818,184.000
3044.032,461.729,185.000
3045.202,461.678,185.000
3042.981,461.668,186.000
3043.204,460.490,186.000
3042.013,461.552,187.000
3041.833,460.195,187.000
3040.883,459.955,188.000
3023.799,375.435,188.000
3041.578,461.356,188.000
3039.460,459.714,189.000
3025.187,322.364,189.000
3023.823,376.111,189.000
3038.812,459.603,190.000
3023.820,375.948,190.000
3024.920,323.110,190.000
3036.450,457.128,191.000
3023.757,376.063,191.000
3034.622,455.820,191.000
2946.463,414.559,191.000
3024.037,376.002,192.000
3035.294,455.600,192.000
3024.209,375.675,193.000
3035.416,454.667,193.000
3024.476,375.050,194.000
3035.969,453.176,194.000
2953.598,419.004,194.000
2953.118,418.935,195.000
3025.017,374.453,195.000
3037.191,451.567,195.000
2952.459,418.764,196.000
3026.952,372.299,196.000
3038.187,450.311,196.000
3028.099,371.483,196.000
3038.311,451.834,196.000
2952.568,418.106,197.000
3028.811,369.360,197.000
3037.539,449.687,197.000
2952.274,416.977,198.000
2951.239,416.429,199.000
2950.324,416.585,200.000
2948.603,416.842,201.000
3000.478,315.754,202.000
3069.543,418.450,202.000
3000.122,313.369,203.000
3069.197,418.416,203.000
3000.125,312.353,204.000
3000.284,311.931,205.000
3036.750,453.434,205.000
3036.505,454.466,205.000
3000.495,310.938,206.000
3035.878,452.781,206.000
3035.089,452.603,207.000
3000.023,310.248,207.000
3034.649,452.983,208.000
2997.935,310.668,208.000
3034.003,452.986,209.000
2958.933,249.494,209.000
3033.845,452.623,210.000
2959.036,249.478,210.000
3067.496,415.058,210.000
3034.210,451.977,211.000
2960.131,247.838,211.000
3067.368,414.854,211.000
3035.124,451.174,212.000
2960.838,246.384,212.000
2961.043,245.772,213.000
3036.244,449.404,213.000
2962.051,244.670,213.000
3037.649,447.974,213.000
3034.557,451.878,213.000
2960.681,245.904,214.000
2962.154,243.564,214.000
2962.322,239.945,215.000
3048.947,429.821,221.000
3048.490,429.130,222.000
2996.762,476.694,239.000
2996.790,477.582,240.000
2995.940,477.590,241.000
2995.429,476.807,242.000
2995.705,476.028,243.000
2798.809,605.755,151.000
2798.144,605.850,152.000
2798.008,606.152,153.000
2798.054,606.538,154.000
2797.772,606.880,155.000
2797.923,608.058,155.000
2797.438,606.911,156.000
2797.387,606.989,157.000
2797.374,607.150,158.000
2797.313,606.809,159.000
2797.295,606.277,160.000
2797.210,605.603,161.000
2797.044,604.803,162.000
2797.739,603.111,163.000
2798.552,601.836,164.000
2799.210,601.215,164.000
2799.626,599.932,165.000
2899.683,704.689,198.000
2899.134,704.450,199.000
2899.109,704.469,200.000
2898.975,704.844,201.000
2898.832,704.836,202.000
2898.282,704.855,203.000
2897.823,705.168,204.000
2897.506,705.479,205.000
2897.013,705.403,206.000
2896.568,705.027,207.000
2897.826,703.878,207.000
2900.102,701.697,208.000
2898.871,702.857,208.000
2957.612,694.090,212.000
2958.027,694.056,213.000
2958.238,693.497,214.000
2958.293,692.832,215.000
2958.831,692.196,216.000
2863.641,813.041,216.000
2863.306,811.043,216.000
2958.849,691.944,217.000
2863.787,811.624,217.000
2864.501,815.277,217.000
2862.435,808.682,217.000
2863.172,813.290,218.000
2958.273,691.804,218.000
3064.544,535.896,218.000
2862.278,809.737,218.000
2861.578,810.938,219.000
3064.497,534.595,219.000
2862.995,814.289,219.000
2956.502,692.531,219.000
2957.977,691.227,219.000
2860.605,811.157,220.000
3063.963,533.825,220.000
2862.479,813.792,220.000
2859.972,811.243,221.000
3063.595,534.191,221.000
3064.339,534.502,221.000
3063.637,534.766,222.000
2859.569,812.214,222.000
3064.433,534.296,222.000
3063.972,535.000,223.000
2859.857,812.862,223.000
3064.745,534.744,224.000
2859.554,812.943,224.000
2859.244,812.725,225.000
3064.287,534.727,225.000
3066.589,532.764,225.000
2859.316,812.597,226.000
3063.952,533.952,226.000
3067.412,531.882,226.000
2859.782,812.327,227.000
3068.459,529.244,227.000
3064.592,532.176,227.000
3069.006,527.453,227.000
2859.506,811.382,228.000
3068.990,526.760,228.000
2859.153,810.275,229.000
3068.806,523.720,229.000
2858.861,809.452,230.000
2859.055,808.951,231.000
2857.589,809.451,231.000
2858.827,808.859,232.000
2860.838,806.642,232.000
2858.573,809.095,233.000
2860.961,806.202,233.000
2859.735,807.667,234.000
2858.553,810.956,234.000
2858.140,810.870,235.000
2859.079,809.400,235.000
2858.274,814.068,235.000
2962.468,598.169,238.000
2962.013,599.526,239.000
2960.858,597.786,240.000
2960.007,596.593,241.000
2959.472,596.093,242.000
2958.475,596.144,243.000
2959.613,596.343,244.000
2958.360,596.564,244.000
2958.167,597.619,244.000
2958.841,595.861,244.000
2722.428,2551.614,118.000
3166.418,449.813,154.000
3165.663,449.291,155.000
3165.212,449.121,156.000
3165.324,448.923,157.000
3165.714,448.776,158.000
3166.616,447.907,159.000
3167.166,447.108,160.000
3167.604,446.119,161.000
3167.961,445.493,162.000
3167.973,444.815,163.000
3168.581,444.573,164.000
3165.514,446.303,164.000
3165.250,446.339,165.000
3169.386,444.260,165.000
3165.796,446.969,166.000
3165.740,447.045,167.000
3164.942,449.690,167.000
3165.576,446.560,168.000
3085.917,318.649,169.000
3085.072,317.810,170.000
3084.052,317.007,171.000
3084.113,314.094,171.000
3082.673,313.204,172.000
3082.643,314.888,172.000
3082.076,312.110,173.000
3081.759,311.519,174.000
3081.676,311.125,175.000
3081.739,310.571,176.000
3081.506,310.281,177.000
3081.136,310.053,178.000
3082.834,307.701,178.000
3079.342,310.673,178.000
3084.507,305.509,179.000
3081.366,308.955,179.000
3104.681,340.452,179.000
3086.917,303.659,179.000
3106.223,338.400,180.000
3104.455,339.378,180.000
3087.531,302.224,180.000
3106.116,337.595,181.000
3105.256,338.514,181.000
3087.652,301.622,181.000
3105.418,337.703,182.000
3104.923,337.471,183.000
3104.881,336.658,184.000
3104.159,337.896,184.000
3105.436,335.406,185.000
3104.802,334.168,186.000
3103.812,335.609,186.000
3075.429,418.154,203.000
3075.341,417.650,206.000
3075.226,417.613,207.000
3074.969,417.669,208.000
3139.852,395.158,209.000
3139.741,395.389,210.000
3137.972,395.112,211.000
3135.939,395.542,212.000
3134.974,395.729,213.000
3089.036,427.822,213.000
3088.449,428.583,213.000
3133.746,395.878,214.000
3088.139,427.262,214.000
3087.012,427.322,214.000
3088.739,426.450,215.000
3133.357,395.310,215.000
3133.331,394.334,216.000
3088.825,426.092,216.000
3134.199,393.328,217.000
3088.514,426.192,217.000
3135.007,393.127,217.000
3088.191,426.329,218.000
3135.438,391.759,218.000
3086.263,426.068,218.000
3086.590,427.202,219.000
3138.061,389.402,219.000
3137.260,390.496,219.000
3085.342,426.708,219.000
3085.828,427.053,220.000
3138.235,388.709,220.000
3085.092,426.334,220.000
3074.240,320.796,220.000
3138.553,387.241,221.000
3085.520,426.794,221.000
3139.143,385.938,222.000
3119.195,374.686,232.000
3243.639,570.405,96.000
3243.238,569.626,97.000
3265.704,553.682,97.000
3244.113,569.010,98.000
3265.575,553.782,98.000
3243.871,568.301,99.000
3243.620,567.588,100.000
3243.566,566.869,101.000
3244.404,568.090,101.000
3244.155,566.339,102.000
